Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:12.5 ,Категория:'Овощи'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:12.5 ,Категория:'Овощи'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:12.5 ,Категория:'Овощи'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

Название:'Банан' ,Вес:15.1 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:12.5 ,Категория:'Овощи'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Яблоко' ,Вес:30.4 ,Категория:'Фрукты'

Название:'Помидор' ,Вес:5.4 ,Категория:'Овощи'

